rName	Reads	Index	rSubPool
3_TXNDC12_2	95	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PKLR_1	148	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ANXA6_2	125	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TSFM_3	288	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MARS2_2	142	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MTX2_3	161	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MGST1_1	144	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_NTHL1_2	251	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDSS1_2	175	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_LONP2_1	LONP2	111	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SYNJ2BP_2	SYNJ2BP	265	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ETHE1_1	ETHE1	119	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLUD2_3	GLUD2	357	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_MFN2_1	MFN2	150	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_LMAN1_4	LMAN1	164	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLRX5_3	GLRX5	177	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_LIAS_3	LIAS	184	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_BNIP3L_1	BNIP3L	923	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RDH13_4	RDH13	196	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_VPS11_4	VPS11	216	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TFDP2_1	TFDP2	210	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_SDHA_1	SDHA	340	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_NFE2L2_4	NFE2L2	128	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_LACE1_1	LACE1	110	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_NADK2_3	NADK2	283	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SYNJ2BP_3	SYNJ2BP	106	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_ARMCX1_4	ARMCX1	139	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SDHAF1_1	SDHAF1	48	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_GPX1_1	GPX1	122	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_LARS2_3	LARS2	211	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TOMM70A_3	TOMM70A	331	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TOMM70A_2	TOMM70A	525	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_CMPK2_3	CMPK2	69	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TOMM70A_4	TOMM70A	330	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDP1_1	PDP1	588	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_GPX4_2	GPX4	95	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_LETMD1_1	LETMD1	305	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ABCG2_2	ABCG2	103	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_OXR1_4	OXR1	185	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_FASTK_4	FASTK	86	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_TMEM126A_1	TMEM126A	134	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TIMM10B_3	TIMM10B	203	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_ARMCX1_1	ARMCX1	467	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_BDH1_4	BDH1	230	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MGST1_4	MGST1	441	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MLH1_1	MLH1	363	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MMAA_2	MMAA	678	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_CALM1_1	CALM1	427	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_HSD17B4_3	HSD17B4	206	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_THNSL1_1	THNSL1	151	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_PDF_3	PDF	91	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MRPS18C_3	MRPS18C	225	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_HSD17B4_4	HSD17B4	135	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_SARM1_2	SARM1	159	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MYO19_3	MYO19	103	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLUD1_4	GLUD1	152	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ALDH7A1_4	ALDH7A1	168	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_LETM1_3	LETM1	233	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_COQ3_4	COQ3	73	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_OPA1_3	OPA1	331	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_NDUFA3_1	NDUFA3	245	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ATP5I_4	ATP5I	190	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_UQCR10_1	UQCR10	193	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_SLC27A1_4	SLC27A1	65	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_METTL8_1	METTL8	389	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_APOA1BP_2	APOA1BP	809	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_MFN2_4	MFN2	608	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ACSL4_4	ACSL4	217	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_LIAS_4	LIAS	55	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_COX20_1	COX20	180	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MRPS2_3	MRPS2	127	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_MRPL33_1	MRPL33	127	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ATG13_4	ATG13	381	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MGST1_2	MGST1	157	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MRPL27_1	MRPL27	258	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RPL35A_1	RPL35A	125	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ACOT9_3	ACOT9	70	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_DNAJC19_3	DNAJC19	364	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_SLC27A1_1	SLC27A1	68	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ACOT9_2	ACOT9	145	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLUD1_3	GLUD1	508	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLS_1	GLS	335	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MRPS18C_4	MRPS18C	317	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MMAA_1	MMAA	129	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_C8ORF82_3	C8ORF82	351	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLUD2_4	GLUD2	96	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_DHCR24_3	DHCR24	77	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_CPT1C_4	CPT1C	71	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_C2ORF69_4	C2ORF69	138	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GOT1_1	GOT1	181	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MTX2_4	MTX2	316	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDE2A_1	PDE2A	138	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ABCB7_1	ABCB7	124	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_SOD1_2	SOD1	86	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GFM2_3	GFM2	196	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TOMM70A_1	TOMM70A	119	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MMACHC_3	MMACHC	156	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_NFE2L2_3	NFE2L2	152	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_LETM1_1	LETM1	613	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_MFN2_3	MFN2	209	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_PPOX_2	PPOX	149	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RSAD2_1	RSAD2	813	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__2	_NONTARGET_	321	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SHMT1_2	SHMT1	113	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MTX2_2	MTX2	116	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_CECR5_2	CECR5	101	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_STOML2_1	STOML2	222	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_MTERF3_1	MTERF3	103	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ATP10D_1	ATP10D	304	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GBAS_2	GBAS	133	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_MTIF3_4	MTIF3	361	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MRPL27_3	MRPL27	142	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_NFE2L2_1	NFE2L2	225	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_HSPB7_4	HSPB7	267	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TFDP2_4	TFDP2	176	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ACOX1_4	ACOX1	154	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MMAA_3	MMAA	327	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ECI2_2	ECI2	121	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2__NONTARGET__4	_NONTARGET_	317	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ATP10D_3	ATP10D	219	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__4	_NONTARGET_	255	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ABHD11_2	ABHD11	97	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MRPS14_1	MRPS14	132	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_HSPB7_3	HSPB7	284	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_OPA1_2	OPA1	55	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TFAM_2	TFAM	289	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ABCD2_3	ABCD2	44	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_HSPB7_2	HSPB7	414	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__7	_NONTARGET_	75	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ACSL4_2	ACSL4	137	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SLIRP_2	SLIRP	172	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ALAS1_4	ALAS1	155	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_GCSH_4	GCSH	51	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_LONP2_2	LONP2	188	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_SDSL_1	SDSL	225	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ACOX1_2	ACOX1	105	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_TMEM126A_2	TMEM126A	102	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_AK4_2	AK4	371	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_ABCD1_3	ABCD1	297	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RSAD2_2	RSAD2	152	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ECI2_1	ECI2	383	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_UBE2D3_2	UBE2D3	185	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_NT5M_4	NT5M	448	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_CMPK2_1	CMPK2	181	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLS_3	GLS	198	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_COX7A2L_3	COX7A2L	141	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_SOD1_3	SOD1	103	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ALAS1_2	ALAS1	191	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_DHCR24_2	DHCR24	89	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_UCP3_1	UCP3	129	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__3	_NONTARGET_	100	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3__NONTARGET__8	_NONTARGET_	99	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ATIC_1	ATIC	241	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_FAHD2A_2	FAHD2A	72	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_ARMCX1_2	ARMCX1	322	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ACO1_1	ACO1	139	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TSTD3_3	TSTD3	153	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_CALM1_2	CALM1	226	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_EYA2_4	EYA2	105	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__8	_NONTARGET_	129	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MRPL11_3	MRPL11	93	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MRPL42_2	MRPL42	232	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_NADK2_2	NADK2	438	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_CROT_2	CROT	180	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_DDX28_2	DDX28	139	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_SDHA_4	SDHA	162	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MRPS2_4	MRPS2	177	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SHMT1_3	SHMT1	87	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_CROT_4	CROT	163	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__10	_NONTARGET_	149	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_MRPL35_3	MRPL35	191	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_HADHB_2	HADHB	41	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GOT1_3	GOT1	175	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_VPS11_3	VPS11	177	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PKLR_2	PKLR	374	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_EARS2_4	EARS2	295	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_C2ORF69_2	C2ORF69	72	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_SLC25A46_4	SLC25A46	106	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ANXA6_3	ANXA6	202	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PARK7_2	PARK7	97	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_UQCR10_4	UQCR10	120	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MGST1_3	MGST1	280	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ATP10D_4	ATP10D	148	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_CECR5_3	CECR5	365	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__15	_NONTARGET_	690	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_SCO1_1	SCO1	150	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ATP5L_3	ATP5L	29	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_HADHB_3	HADHB	121	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RNF5_2	RNF5	168	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_SDHAF2_4	SDHAF2	45	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_YARS2_3	YARS2	129	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_TBRG4_4	TBRG4	60	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_ISCA2_2	ISCA2	76	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4__NONTARGET__11	_NONTARGET_	169	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_LIAS_2	LIAS	87	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_SOD1_4	SOD1	86	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ATP10D_2	ATP10D	227	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_BPHL_2	BPHL	241	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RSPH9_3	RSPH9	86	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_TMEM177_2	TMEM177	166	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ALDH3A2_4	ALDH3A2	269	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLUD2_1	GLUD2	305	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_DHCR24_1	DHCR24	700	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_IDH1_4	IDH1	201	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_MTIF3_3	MTIF3	111	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_MPC2_4	MPC2	210	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_GLS_4	GLS	177	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_ATP5L_4	ATP5L	203	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_PDF_4	PDF	139	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_HSDL2_4	HSDL2	102	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_MCCC1_3	MCCC1	95	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_PDE2A_3	PDE2A	92	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_CPT1C_2	CPT1C	194	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_SUCLA2_3	SUCLA2	229	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ACSL4_1	ACSL4	208	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_COX7A2L_2	COX7A2L	30	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_LACE1_3	LACE1	116	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_TMEM177_3	TMEM177	66	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_MRPL35_1	MRPL35	244	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TIGAR_3	TIGAR	271	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_SDHA_2	SDHA	279	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
1_GTPBP10_4	GTPBP10	230	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_NADK2_4	NADK2	275	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_AURKAIP1_3	AURKAIP1	63	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_ALDH3A2_3	ALDH3A2	91	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
3_TSTD3_2	TSTD3	205	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_MTERF3_4	MTERF3	91	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_AK3_3	AK3	126	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_RPL35A_4	RPL35A	224	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
2_TMEM126A_4	TMEM126A	81	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
4_KIF1B_4	KIF1B	123	Bulk Sample MSPH1-4 WT +Dox 2023-1-20	1
