Gene  log2(fold_change)   q_value
Cx3cr1   1.5893701  14.592585326815705
Cd276   0.89152735  14.55046506624101
Hs3st5   2.1678941  14.538908842405693
Peli3   -0.8841517  14.454335708239729
Junb   -2.1426175  14.441029215790959
Il31ra   2.281359  14.222360480041768
Mboat1   0.8597957  14.201825572511048
Gm13833   -0.8747788  14.169935592539288
Syt4   1.290044  14.11222857809263
Kcns3   -0.90857303  14.053923545033909
Fmod   1.2608669  14.053736411779191
Gm26740   2.129654  13.949894561741656
Mettl7a1   -0.9593081  13.93631761524895
Slc7a4   -1.213666  13.85063525606471
Lgals3   -0.85624015  13.79370168689131
Maged2   0.74799997  13.762110011590366
Klf10   -1.5266968  13.742044377787922
Adamts7   0.84423447  13.638160988704422
Csmd3   -1.9418154  13.631169181339752
Arsi   1.4035755  13.561026367848878
Camta1   -0.6635969  13.49830492823274
Fstl1   1.0089943  13.42132950414308
Cd248   1.0045662  13.39720287476828
Csrnp1   -1.4637594  13.389534672390937
Nrxn3   1.6976013  13.377856087303188
Map3k21   -1.623509  13.348199516725371
Ighm   0.9206845  13.3325708232106
Synpo2   -1.0195951  13.32402686466121
Fos   -3.1634758  13.283685241735494
Ephb1   -0.7456931  13.258708530142579
Adamts12   0.8766411  13.214205872098253
Gm12067   -2.2036242  13.152396904412909
Hsd17b12   0.7785891  13.103735522046934
Amy1   -0.9292403  13.081580553565324
Rnf128   0.7649389  13.035145663670075
Lrp1b   -1.8513505  13.029079839258321
Ldlr   0.75494224  13.006967444128456
Gjb2   2.4013903  13.002323568911452
Npr3   0.9970197  13.00025663222607
Insig1   0.7650407  12.925414992886918
Fads2   0.7411514  12.91862620301292
Corin   -1.234048  12.910568744811554
Itga8   -1.058616  12.873129891767858
Rapgef3   -0.79800403  12.862866021852021
Mgll   0.79826826  12.753197241674986
Nkd1   0.736354  12.689489296313694
Egr3   -2.804777  12.61984492920627
Cntn5   -1.4192308  12.609934420686253
Stum   1.2664828  12.603411807044257
Fbn2   0.8787552  12.602917199019142
Plk5   -1.0530808  12.600961525297054
Rian   0.8633664  12.598615740964979
B4galnt1   -1.817118  12.598073157325967
Tfap4   -0.83501303  12.4317014096819
Ryr1   6.8310623  12.387259785512786
Tmtc1   -1.3597558  12.354177727471091
Xkr7   1.2717298  12.233193284864566
Sema3g   -0.9200144  12.232775090879063
Dusp18   0.85923433  12.176429234376641
Anxa1   -0.73483086  12.14524928528366
Galnt15   -0.80393374  12.125468528748344
Utp14b   0.80989546  12.11808875152311
Nrk   1.471515  12.084692613239445
Bzw2   0.7583737  12.033204546890662
Klhl3   -0.68608266  11.928887452463998
Egr1   -2.7269022  11.896196705237134
Cyp7b1   0.73708004  11.891979688202873
Kcnd1   1.0045533  11.802522365320222
C430049B03Rik   1.3128139  11.780228106443563
Fst   1.509273  11.756797856386203
Slco4c1   1.4073204  11.743866309913543
Mest   0.8453309  11.680905422510747
Ier2   -1.5870684  11.662140899164719
Ppic   0.9586491  11.635795856569095
Pcsk5   0.75649387  11.626351649020403
Chpt1   -0.6751431  11.555794269923124
Gm23973   -0.723856  11.542869467629162
Col24a1   -0.7909957  11.539616327452158
Osmr   -0.6796731  11.53812130277116
Ctxn1   0.9292335  11.53059768704309
Hacd1   1.3779756  11.52710414856255
Col28a1   0.7313269  11.527033857905119
Tmem97   0.7900814  11.50922805312095
Pnpla7   -0.91913354  11.477530357525545
Esr2   1.798395  11.418371601431733
Dpy19l3   0.67997026  11.397685114936259
Ctnnbip1   0.7013607  11.385205855686612
D630045J12Rik   0.86226314  11.371943070877819
Cyp2j13   0.9647422  11.337568957150115
Socs3   -1.0205184  11.299890193807938
Adcy2   0.7800414  11.298416747337829
Tnnt3   5.4694743  11.271064652966741
Cnih3   0.84624195  11.26208750813775
Eln   1.0414479  11.176536566798374
Mecomos   -1.6360767  11.160495122372616
Fosl2   -1.3549235  11.152947583600026
Map3k6   -2.0718317  11.149820481213531
Mchr1   -1.295482  11.115530792938028
Spon2   0.7616754  11.113082037008805
Arxes1   1.3063104  11.11118922055475
Mertk   -1.2716216  10.95935665101329
Gm14011   -1.419409  10.957139033496013
Pim1   -1.0064583  10.950281205874838
Bri3bp   0.6307175  10.935922063520419
Angptl4   -1.9859561  10.931882313843333
Calcoco2   1.7544707  10.924020408682031
Npnt   1.3780645  10.922120567976911
Actn3   5.016457  10.902075807474695
Pank3   0.7058927  10.874100899137591
Usp2   -1.1201905  10.840018759877147
Kdelr3   0.6533357  10.787767452606147
Serpinb6b   0.71913546  10.779437764742578
Sik1   -1.7018471  10.773707921140474
Slc10a6   -1.758353  10.749034617963394
Ttn   6.5695767  10.724580963188195
Aldh1a3   0.79623646  10.72343395746481
Pcsk1n   -0.6336884  10.720430001671842
Creb3l1   0.6422442  10.713997850254577
Ndn   0.6986768  10.655632971690403
Neb   5.0475135  10.645506580297923
Cilp   1.5868644  10.62990201009038
Gm26315   -0.7479835  10.628622270386018
Misp   -1.5127604  10.613917473594967
Spen   -0.8065672  10.610052695365177
Col6a1   0.76984096  10.548938855750212
Fbxo2   -0.8845873  10.533275956302049
Zfp180   -0.5797206  10.497997037768814
Lgals4   -0.73112404  10.475792734798457
Grik3   -0.5691889  10.46728989012325
Rtn4rl2   -0.69678  10.456972675580971
Mettl27   0.8556837  10.422324506931963
Scg5   0.975828  10.410476621520825
Mafk   -0.76934886  10.408681732184563
Slc25a48   -3.8162546  10.371851605163894
Kcnab1   -0.5986677  10.335063859937867
Fndc5   1.0957024  10.328819983278974
Tns2   -0.8833689  10.306340756934187
Cdh11   0.76614094  10.252494500689274
Phf24   -1.5099642  10.226230293707856
Doc2b   -1.3383776  10.219133206779151
Atp10b   0.9638839  10.199296773792542
Adgrl1   0.6651784  10.1968205002947
Col15a1   0.71651846  10.144939120727914
4930483J18Rik   -2.282615  10.141435241293106
Myo18b   4.740366  10.119818985982587
Slc43a1   -1.2111397  10.108029516817544
Tekt5   1.202353  10.10340897679638
Btg2   -1.8371166  10.073738458263712
Pja1   -1.3155311  10.073669190735021
Snx7   0.6045359  9.968058972253477
Cyp4f14   0.75374085  9.934228198165481
Acss2   0.6602679  9.930870427785443
Bhlhe41   -0.86666703  9.923276242628894
Igsf21   -1.4425762  9.906367032454233
Tmem38a   0.8364722  9.900137378731822
Hmgcs2   -1.0823692  9.89804464874425
Gm23624   -0.7769361  9.875318732038505
Nrep   0.71512586  9.86524664641734
Dusp1   -1.6178268  9.82260740554943
Obsl1   0.6221116  9.817837731379077
Cacna1s   1.683077  9.806819337022336
Atp2a1   6.307234  9.797690149023602
Anks1b   -0.8250515  9.780207534051076
Tlcd1   0.76166505  9.742495126378426
Slc7a5   -0.8000684  9.662067725451804
Zfp36   -1.4435786  9.654446955219543
H1f0   0.6669664  9.644468763634894
Col6a2   0.75661075  9.627340764504192
Cthrc1   1.8181387  9.61389146945484
F3   -0.9048934  9.59636723450709
Scube2   1.1076281  9.579176170122746
Aldh18a1   0.6846609  9.54513358903152
Sbk1   0.54940575  9.526184176913157
H2afy2   0.73486406  9.518049265266026
Tmem189   0.62995344  9.51197906821248
Cdh3   0.6953353  9.499881530420227
Sema5b   0.86452234  9.494969220313344
Mapk8ip2   -0.76544213  9.47594289092721
Col5a1   0.6640882  9.471544172504922
Klf2   -1.2696552  9.470341249805703
Usp13   1.1016783  9.469580397962103
Tfg   0.5548178  9.451381118284129
Fcgr3   0.6366803  9.444691651124872
Camk2n1   -0.64783347  9.426454309579315
Gm28875   -0.6438685  9.40538886821175
Teddm1a   -1.3170145  9.346764827341387
Aco1   0.53539395  9.33732289339176
Rtl1   0.904719  9.334950477834925
Homer2   0.8848741  9.328258711194799
Entpd7   0.56798863  9.323753903437744
Hr   -1.013065  9.323036085426939
Acer2   -1.0215772  9.304061294419053
Aldoc   1.2774129  9.249880992280463
L3mbtl4   -1.1406422  9.243649397386642
Col5a2   0.6683198  9.239954536852778
Fbxo32   -0.72243243  9.20919261900899
Ttll3   -0.9767324  9.206342837849695
Depp1   -1.0163845  9.196998524590297
Cplx3   1.0687401  9.164263181969995
Gm6939   -0.9155021  9.152928957599872
Slc8b1   -0.6356549  9.142244039312612
Ttyh3   0.5399347  9.113168413512263
Hrk   -1.2306584  9.10169006134723
Col7a1   0.67186826  9.091866602498847
Trim66   -0.9198077  9.09110108853748
Hmox1   0.5957366  9.089826360748265
Hspa2   -0.5914279  9.077542535513741
Pgm1   0.9945521  9.071280562316327
Sema4g   0.6191503  9.066504588215384
Pglyrp1   -1.4146402  9.037918539795331
Grik1   -1.3140227  9.035308082343596
Ebp   0.6023099  9.029079570503772
Asb2   2.3547971  9.004863810633593
Myh4   9.128461  8.975471284820921
Stbd1   -0.6393128  8.970045272277787
Pvalb   4.872264  8.961622901733719
Rnf207   0.9378827  8.942323691100823
Adam17   0.55253357  8.924228726660829
Lemd1   -1.8202112  8.92165427390098
Lrrc17   1.2704809  8.91954470163371
Paqr7   0.6146702  8.89792595253915
Itgb3   0.71259034  8.886830515272717
Matn4   0.8556133  8.853218561979016
Ypel2   0.5972062  8.849784242889992
Pde1a   -0.8268196  8.847755910218376
C1qtnf2   1.1115266  8.828331014433044
Itm2a   0.65709007  8.82134323885353
D430019H16Rik   0.56971544  8.81896037526497
Rdh11   0.6608558  8.817753871918875
Nit1   0.5813191  8.802109233816676
Arid5b   -1.0283401  8.79472024026423
Prcp   0.58050185  8.774660018963411
Elavl3   -1.3918177  8.772529785696793
Nkain1   1.5254087  8.769747748249785
Fgfr3   -0.91005963  8.749683351174964
Ednrb   0.8134716  8.74165831814523
Slc16a1   0.7650995  8.7370883324991
Etfbkmt   -1.1350771  8.73550901891892
Tmem50b   0.54298985  8.727656923291411
Obscn   4.1896896  8.72470360942966
Gch1   -1.1322347  8.723536169258795
Car14   0.82504064  8.720846031887312
Lpin1   -0.6789939  8.719430455752546
Dab2   0.62167746  8.717917626320439
Pak1   -0.949885  8.716456988319443
Crlf2   -0.7532409  8.70379641269611
Frmpd1   1.0948362  8.663806927046414
Flrt1   -0.97882384  8.663723018767213
Ckm   7.084449  8.649404842267188
Gm6166   1.6238544  8.641657927320137
Gm13502   1.1452484  8.637452842071038
Gdf10   1.5431546  8.53007784310496
Pard6b   0.7646647  8.52843311085811
Crlf1   -0.69783986  8.47146848172984
Cdr2   0.67077273  8.47039842917794
Pou2f2   0.8564691  8.454284427662971
Myrfl   1.0368568  8.441122569678118
Myom2   4.055221  8.436486395451867
Rgsl1   -1.0088146  8.434460810578395
Plin4   -2.0218918  8.414644617491915
Gadd45b   -0.70345014  8.406249821331954
Sema3d   0.6789322  8.393569052425292
Zbtb16   -1.8565625  8.38017904692014
Dll4   -0.67935574  8.372555271985373
Ckap4   0.51930314  8.365956506623156
Tmem35a   1.6626825  8.355221971146268
Tusc3   0.5448057  8.34789616005362
Nxph3   -1.0703048  8.342317331100656
Ldb3   3.2321782  8.334340110565693
Gpt2   -0.80322254  8.313705214460247
Gm24514   -0.65060085  8.300612340610682
Mcf2l   -0.5174606  8.285637512557912
Hba-a2   -1.3251884  8.280029600458931
Chd5   -0.8131898  8.27734552073401
Oxct1   0.50627565  8.262985312178312
Ccnd3   -1.0205668  8.250085075955969
Elovl7   0.575942  8.230409073018174
Srl   2.744629  8.226273387891212
Gcnt4   -1.4457234  8.213758780942205
Nos3   -0.7612886  8.206328838319482
Tmem74   1.302566  8.191175222051879
Cxadr   0.79894847  8.184794916583002
Mdga1   1.2862622  8.129140825407738
Kcnj2   0.83752084  8.119873521706117
C7   2.4993646  8.100005692397781
Usp54   -0.62552506  8.099255695609415
Tuba8   1.0623575  8.099162284928138
Il6ra   -0.904185  8.085208053092604
Itga6   0.5849635  8.056982802682471
Mgarp   -1.7156141  8.04511990172749
Dennd5b   -0.84676147  8.04094850567556
Rhbdf2   -0.6206383  8.03434577493308
Lrp11   0.53579885  8.025460538263564
Layn   -0.95627004  8.02286686598143
Serpine1   -2.2254965  8.009732981205136
Syne3   -0.57471025  8.009080092952862
Arap2   -0.60950303  8.006066573641453
Hpgd   0.8431137  7.98971216362683
Gm21451   1.1229212  7.964208356366294
Sytl1   -1.4552777  7.957667332439863
Npc2   0.5823027  7.953722385207049
Apold1   -1.7156949  7.947718999929538
Jag2   -0.6968916  7.940979337277164
Hdc   -1.8005276  7.937442753944991
Olfml1   0.563629  7.930428173286804
Klf4   -0.9695996  7.928546378134124
Rps6ka2   0.59133095  7.919726608933809
Sfrp4   1.1934326  7.919247293490812
Tubb3   -0.8336737  7.90007262035719
Slc25a35   0.6785  7.895757467281322
Ccn2   -0.9779878  7.877329810316109
Thbs2   0.6793029  7.870082411080779
Uchl1   -0.5155956  7.856022580014819
Frem2   0.5822575  7.839253311025031
Igdcc4   0.69700766  7.838110755964056
Rapgef4   -0.69359785  7.829688788506121
Acta1   8.107438  7.81172539819283
Piwil1   1.5042588  7.810593030558561
Asphd2   -0.5810394  7.809989338069439
Gpx7   0.76129806  7.796657458738101
Trip10   -0.77599245  7.791416966205739
Rab40b   0.58775973  7.7761206121917725
Col4a2   0.5776457  7.768183744057513
Sycp3   -1.1477162  7.766231820839385
Fam205c   -1.5735708  7.7653352249399745
Hba-a1   -1.5047736  7.744784102775274
Pla2g5   -0.53207886  7.738907843358763
Osr1   1.0784982  7.729404310258332
Tmco4   -0.5861933  7.706456907367284
Cry2   -1.0160652  7.704098136766037
Zc3h12c   -0.65446174  7.702074422197441
Ppfibp2   -0.5043314  7.693694111181395
Lox   0.6131906  7.685642155611586
Gm26846   -0.9984197  7.682478013972743
Higd2a   0.5285464  7.678623144392648
Camk2n2   -0.8530802  7.673234488211167
Gm13844   -1.5450386  7.62804837176796
Fscn1   0.6322648  7.62705363821383
Ccr5   0.99477655  7.624992359744869
Fap   0.5822249  7.624546628738503
Adra2a   0.77971506  7.622390826126607
Hist1h1e   0.59028995  7.614692624922729
Ccdc188   -0.9833687  7.5812230213780545
Bgn   0.64611214  7.580089274117363
Serpind1   0.52932125  7.56738137412828
Tspan11   1.482969  7.562092751816121
Eno3   2.605658  7.545399124348802
Lvrn   -1.0101129  7.5432910382655685
Pygm   2.6642952  7.54257256345774
Rap2a   0.57075655  7.532240967790949
Cebpb   -1.094403  7.528095212211822
St6gal1   0.54624045  7.523938438971503
Cdh6   1.274085  7.510028645153573
Bcl6   -0.5578573  7.5100138691924885
Hbb-bt   -1.6544044  7.508465517475896
Gm10825   1.2767401  7.493022980259981
Ctsk   0.8094671  7.487737158092058
Tcp11   -1.1515181  7.482902595762815
Cpxm1   -0.52447057  7.48162684345667
Ftx   -0.52992105  7.455257500471879
Pisd   0.4902725  7.4382560275397775
Angpt2   -1.0849167  7.423849503587442
Dmac1   0.7445618  7.420403930679522
Plcxd2   0.88256186  7.417573787950665
Lhpp   0.72730684  7.415669185642767
Kdr   0.60964394  7.408849376480757
Gm2830   -0.8222995  7.408645145576549
Nrap   3.526277  7.408606820906364
Klf15   -0.8926476  7.391337276119407
Stk32b   -1.2680763  7.390425263300658
H3f3a-ps2   1.03456  7.382103942565875
Amt   -0.60949147  7.381099477079242
Per1   -0.94657606  7.378727789006131
Mal   0.59224224  7.367553779916989
Hist1h1c   0.58709353  7.366290146355094
Lman1l   1.0095376  7.348180827541689
Sntg1   -0.90805984  7.337219807560092
Inha   1.0275323  7.328134374604448
Plekhb2   -0.4742559  7.318413350215194
Dnaaf2   2.5072002  7.313743093663644
Ptprn2   -1.4135668  7.302372325244213
Gm10419   -1.5438739  7.301974586666851
Ttll1   0.7782023  7.2769280501533915
Sfrp1   0.79406846  7.2716480505036785
Epyc   0.98321027  7.262439626588696
Kcnk4   -1.489658  7.257325203802222
Scarb1   0.49854723  7.255316515033249
Edil3   -0.65778315  7.252248634391584
Meox1   1.2056389  7.250690698533139
Clcn5   0.84049004  7.242021237318428
Lrrn1   1.1377228  7.234365899225934
Fcgr1   1.0545871  7.211573473627952
Sfrp2   2.2216876  7.210397699914518
Cers2   0.5391852  7.198093740173918
Maff   -1.2863507  7.17668666172315
Gm12200   1.3247125  7.175362130745164
Nr4a1   -1.0307301  7.174646437653864
Mgat5b   1.3161393  7.16404824324132
Marcksl1   0.493444  7.140497893575321
Slc6a1   -0.7905425  7.130728758132542
Mcm7   -0.5642177  7.114567449419952
Eif2s3x   -0.54017544  7.111678324472131
Arhgef37   -0.5906824  7.109301598193153
Gm10654   -1.2413479  7.10138850318629
Cit   0.9446652  7.094920270159252
E2f8   1.5600637  7.061958871981976
Lpcat3   0.61419815  7.058969082364086
Crebrf   -0.5234552  7.056389351947298
Gsta3   -0.6517529  7.050837045879715
Fuca2   0.63065064  7.049137225856915
Itih2   1.0511682  7.044897636890844
Mir5099   -1.0067582  7.0324714589082875
Gm15949   -0.6427092  7.027399769720058
Fcrls   0.8056731  7.0211835779250595
Ggta1   -0.4696774  7.020516097016865
Zdhhc9   0.48825124  7.010208365938399
Aff1   -0.6695405  7.006656587941234
Xdh   -0.8918669  7.006231670695407
Tigar   0.9345032  7.004850748635856
Fmn1   -0.911453  7.004759541679126
Jun   -0.61726445  7.004506681505703
Gm6781   0.95221436  6.996636387336784
Cables1   -0.63560796  6.987146099763831
Lrrc8a   -0.7118988  6.953593961811176
Runx2   -0.6595947  6.941202726025109
Ctnnal1   0.63970596  6.9395260451985745
Itih5   0.55337614  6.938226254593725
Rap1gap   -0.96712905  6.938193070386296
Cnn2   0.45642674  6.930400687937784
Igfn1   -1.9341921  6.919351398741879
Gal3st1   0.5467291  6.917503597503736
Me3   -0.500886  6.910108890064535
Adgb   0.52431947  6.904251339089943
Edn1   -0.6158362  6.893945909550644
Spsb1   -0.8622599  6.887510859993428
Gm15948   -0.5037755  6.883567633940936
Pigq   0.51189214  6.879731129431406
Cplx1   -0.763673  6.865054769303321
Fabp5   0.7119537  6.86000955309059
Rpusd3   -0.6952408  6.859409068557436
P4ha2   -0.69306916  6.859380340439399
Pde6d   0.4682984  6.859021807532679
Arrdc2   -1.4638438  6.856483375207427
Srpx   0.49115518  6.849023635604611
Srpx2   1.0790384  6.8462663803637795
Aplnr   1.1257106  6.845733609178257
Fxyd2   -0.8495408  6.84406009468465
Chgb   -1.277614  6.841244253156029
Pgam2   2.5261314  6.840907080377053
S1pr1   -0.8371125  6.840871692540241
Gpr17   -0.51357967  6.837706774291897
Spint1   0.64194196  6.836777238621736
Gm13394   1.2230759  6.827008897546772
Klf9   -1.0363615  6.824005459367342
Slc35c2   0.49899808  6.821341971499709
Gm16576   -0.67770946  6.8173505819640825
Mdm1   -0.52782786  6.80615185161438
Rnd2   -0.5693385  6.796218993408579
Grip2   0.94385344  6.793263817629788
Pf4   1.0689355  6.789719722881231
Cacna1a   0.7029076  6.7869168398566995
Ahdc1   -0.69225305  6.783526209762606
Scamp5   0.5003173  6.780529830491367
Ifit1bl2   -0.8250501  6.780520399819974
Casp4   -0.6467554  6.7674718085641015
Hbb-bs   -1.3263279  6.7430330564840375
Hbb-bs   -1.3263279  6.742920208471086
Nek7   -0.63174504  6.741603996844887
Ip6k2   -0.8504514  6.736230383798436
Avil   -1.0823045  6.734695360900637
Pabpc4l   1.1114593  6.713717659522196
Pls1   -0.8477085  6.70914617368159
Serpinh1   0.59655976  6.689933961024626
Bcl2l1   -0.7576617  6.688146304858338
Pcyt2   0.511612  6.6806192345185025
Farp1   0.501295  6.678690179850899
Mllt3   -0.5067753  6.659312866689588
Pik3r3   0.7408108  6.655543734147163
Ppp1r26   0.4755334  6.649237328947589
Gm22935   1.3870567  6.645161789432644
Dok2   0.67214024  6.640971458090433
Sox5   0.6521224  6.637876943664034
Rabgef1   -0.5261934  6.637492523191816
Prkcq   0.5540001  6.630462673745165
H19   0.92423743  6.626608486865987
Gm18981   1.300913  6.626312801042978
Rimbp2   0.7594794  6.620704503926465
Pcolce   0.5210145  6.616166857431637
Adamts4   1.021962  6.604271020544384
Rnf145   0.49860626  6.60220597630601
Ly6g6f   1.336135  6.575879056748599
Rundc3a   0.6231442  6.575479412756334
Mrc2   0.5132051  6.572290244994193
Rnpc3   -0.45915732  6.570632361799178
Sptlc2   0.5254046  6.5701132064811985
Sowahc   0.45554522  6.565919763506068
Galm   -0.7246302  6.56462141347113
1700017B05Rik   -0.6319915  6.564336725929887
Nim1k   0.7169578  6.562126652492533
Erg28   0.4766486  6.559573006631509
Itpr3os   -0.9893095  6.556096272109778
Slc25a13   0.5708372  6.555547116239905
Casq1   1.4256696  6.546827193790918
Sema3e   -0.54687387  6.542038875915757
Ccdc33   1.2412703  6.541182731107675
Acly   0.64284104  6.5362016908338845
Myof   -0.4637675  6.5230398511300125
Sptbn4   -1.368117  6.518623573151345
Fbn1   0.5578208  6.514259622668832
Aox3   -0.7390308  6.513994333702175
P3h2   -0.51112676  6.5071611038607005
Trib2   0.5996934  6.507056447869993
F730043M19Rik   -0.6661441  6.498448240435569
Tiam1   0.49656698  6.48995367057751
Gramd2   0.7662652  6.489332162040615
Ranbp9   -0.85998976  6.484515981302717
Adra1b   1.3304522  6.479656266030761
Bok   -1.4468088  6.46802293665288
Fkbp5   -1.7110482  6.464885839388004
A830052D11Rik   1.2221359  6.4628075548238115
Mrpl58   0.47371483  6.4615846953211635
Pts   0.75137794  6.45987649471849
Vps36   0.50570095  6.457246645005212
Gpc6   0.5884091  6.456534804180669
Prelid3a   -0.72900486  6.449706894850874
Adgrg2   -1.000704  6.44830675528517
B4galnt3   1.0566466  6.421779669866977
Isg20   -1.0319912  6.417948255907253
H2-Q10   -1.1738676  6.415720161325182
Nol4   -1.0474862  6.410248630532274
Sap18b   0.92129177  6.4074888961922545
2810029C07Rik   -1.1544474  6.403706399530624
Mir5110   -1.152576  6.398324164128959
D330045A20Rik   0.69626427  6.393579345081344
Gpr180   0.512951  6.383601859700418
Efemp1   -0.4473261  6.375412386697179
Col4a1   0.5297756  6.37418262206054
Fgfrl1   0.47900847  6.37038088648301
Rundc1   -0.4889968  6.36321860183067
Cpne7   -1.3182232  6.3589177920952284
Car7   -0.80912906  6.354225375189401
Trib1   -0.9799634  6.3487438049996845
Cilp2   0.89693165  6.3448986590429515
Rufy4   -1.0066037  6.337470731800864
9330159F19Rik   -0.6818224  6.326963535522766
Mmp16   0.8231801  6.3241668308318255
Pdpn   0.52986175  6.322251098873057
Gm8163   1.252697  6.321270613738514
Mfsd14a   0.4343088  6.320956579764968
Tmem59l   -1.1255084  6.320834812918163
Taf8   -0.5584342  6.311884467241478
Kdelc2   0.5021025  6.30340587053305
Teddm2   -0.80488104  6.2975585985370985
Gm12970   -1.2063289  6.296011001899982
Tmem140   -0.557169  6.294752573826012
Cebpd   -0.99602544  6.28953505358177
Batf3   -1.0320569  6.287918072746649
Ror2   0.58601314  6.276982728504821
Rab2a   0.5114741  6.275962371812869
Pnpla2   -0.5848426  6.269748081018154
Cuedc2   0.48077115  6.261511628792867
Rnf144a   -0.47669065  6.255997864683333
Myom1   1.8775299  6.2554302394705426
Otud7b   -0.72726583  6.254862996871963
Tob2   -0.65371805  6.252654074040524
Serp1   0.4502079  6.233889043176801
Glis3   -0.58247423  6.229261212640238
Gpr37   1.0411242  6.217352929697568
Irs2   -0.5797738  6.215688852500326
Rhebl1   -0.6953276  6.2103911948066735
Lama4   0.5021093  6.209953556110759
Abracl   1.0594774  6.2051600861159395
Zfand4   -0.8298444  6.189922068350581
Slc2a13   0.6790413  6.184821422737606
Slc43a3   -0.58314735  6.179910256174496
Gm14443   -0.8512083  6.179814794725417
Sik2   -0.44098163  6.179616479928359
Meg3   0.5653856  6.177403061912681
Oplah   -0.4285293  6.177178199043037
Ccdc42   1.2489734  6.171016709459133
Ppfia2   0.6900601  6.164793596403287
Dscam   -1.1206124  6.161821390540499
Resf1   -0.55154943  6.1617995257354465
